Supplier Key: 1, Name: Supplier#000000001, Nation: PERU, Balance: 5755.940000
Supplier Key: 39, Name: Supplier#000000039, Nation: INDIA, Balance: 6115.650000
Supplier Key: 40, Name: Supplier#000000040, Nation: RUSSIA, Balance: -290.060000
Supplier Key: 41, Name: Supplier#000000041, Nation: CHINA, Balance: 6942.670000
Supplier Key: 42, Name: Supplier#000000042, Nation: RUSSIA, Balance: 6565.110000
Supplier Key: 43, Name: Supplier#000000043, Nation: JAPAN, Balance: 7773.410000
Supplier Key: 44, Name: Supplier#000000044, Nation: GERMANY, Balance: 9759.380000
Supplier Key: 45, Name: Supplier#000000045, Nation: INDONESIA, Balance: 2944.230000
Supplier Key: 46, Name: Supplier#000000046, Nation: UNITED STATES, Balance: 3580.350000
Supplier Key: 47, Name: Supplier#000000047, Nation: KENYA, Balance: 2958.090000
Supplier Key: 48, Name: Supplier#000000048, Nation: KENYA, Balance: 5630.620000
Supplier Key: 49, Name: Supplier#000000049, Nation: UNITED STATES, Balance: 9915.240000
Supplier Key: 50, Name: Supplier#000000050, Nation: INDONESIA, Balance: 4515.870000
Supplier Key: 51, Name: Supplier#000000051, Nation: INDONESIA, Balance: 7241.400000
Supplier Key: 52, Name: Supplier#000000052, Nation: ROMANIA, Balance: 287.160000
Supplier Key: 53, Name: Supplier#000000053, Nation: GERMANY, Balance: 6177.350000
Supplier Key: 54, Name: Supplier#000000054, Nation: JAPAN, Balance: 2733.690000
Supplier Key: 55, Name: Supplier#000000055, Nation: UNITED STATES, Balance: 7162.150000
Supplier Key: 56, Name: Supplier#000000056, Nation: MOZAMBIQUE, Balance: -632.160000
Supplier Key: 57, Name: Supplier#000000057, Nation: PERU, Balance: -831.070000
Supplier Key: 58, Name: Supplier#000000058, Nation: MOZAMBIQUE, Balance: 92.440000
Supplier Key: 59, Name: Supplier#000000059, Nation: PERU, Balance: 586.160000
Supplier Key: 60, Name: Supplier#000000060, Nation: INDIA, Balance: 4515.800000
Supplier Key: 61, Name: Supplier#000000061, Nation: INDIA, Balance: 6096.580000
Supplier Key: 62, Name: Supplier#000000062, Nation: ROMANIA, Balance: 9202.570000
Supplier Key: 63, Name: Supplier#000000063, Nation: ETHIOPIA, Balance: 5742.030000
Supplier Key: 64, Name: Supplier#000000064, Nation: UNITED STATES, Balance: 1309.700000
Supplier Key: 65, Name: Supplier#000000065, Nation: RUSSIA, Balance: -963.790000
Supplier Key: 66, Name: Supplier#000000066, Nation: UNITED KINGDOM, Balance: 2455.980000
Supplier Key: 67, Name: Supplier#000000067, Nation: EGYPT, Balance: 3576.550000
Supplier Key: 68, Name: Supplier#000000068, Nation: VIETNAM, Balance: 5119.380000
Supplier Key: 69, Name: Supplier#000000069, Nation: EGYPT, Balance: 8466.500000
Supplier Key: 70, Name: Supplier#000000070, Nation: FRANCE, Balance: 9508.370000
Supplier Key: 71, Name: Supplier#000000071, Nation: ARGENTINA, Balance: 8179.680000
Supplier Key: 72, Name: Supplier#000000072, Nation: CHINA, Balance: 7014.500000
Supplier Key: 73, Name: Supplier#000000073, Nation: MOZAMBIQUE, Balance: 3793.130000
Supplier Key: 74, Name: Supplier#000000074, Nation: SAUDI ARABIA, Balance: 4170.510000
Supplier Key: 75, Name: Supplier#000000075, Nation: CHINA, Balance: -224.840000
Supplier Key: 76, Name: Supplier#000000076, Nation: KENYA, Balance: 2971.100000
Supplier Key: 77, Name: Supplier#000000077, Nation: GERMANY, Balance: 4186.950000
Supplier Key: 78, Name: Supplier#000000078, Nation: ETHIOPIA, Balance: 1044.100000
Supplier Key: 79, Name: Supplier#000000079, Nation: KENYA, Balance: 1191.940000
Supplier Key: 80, Name: Supplier#000000080, Nation: VIETNAM, Balance: -40.450000
Supplier Key: 81, Name: Supplier#000000081, Nation: JAPAN, Balance: 166.320000
Supplier Key: 82, Name: Supplier#000000082, Nation: CHINA, Balance: -724.310000
Supplier Key: 83, Name: Supplier#000000083, Nation: KENYA, Balance: 1467.770000
Supplier Key: 84, Name: Supplier#000000084, Nation: UNITED STATES, Balance: 4780.930000
Supplier Key: 85, Name: Supplier#000000085, Nation: GERMANY, Balance: 7174.740000
Supplier Key: 86, Name: Supplier#000000086, Nation: ROMANIA, Balance: 1883.370000
Supplier Key: 87, Name: Supplier#000000087, Nation: UNITED STATES, Balance: 4746.660000
Supplier Key: 88, Name: Supplier#000000088, Nation: IRAQ, Balance: 3086.130000
Supplier Key: 89, Name: Supplier#000000089, Nation: INDONESIA, Balance: 1638.020000
Supplier Key: 90, Name: Supplier#000000090, Nation: FRANCE, Balance: 6201.770000
Supplier Key: 91, Name: Supplier#000000091, Nation: CANADA, Balance: 6255.870000
Supplier Key: 92, Name: Supplier#000000092, Nation: BRAZIL, Balance: 2470.840000
Supplier Key: 93, Name: Supplier#000000093, Nation: MOZAMBIQUE, Balance: 368.760000
Supplier Key: 94, Name: Supplier#000000094, Nation: EGYPT, Balance: 2766.800000
Supplier Key: 95, Name: Supplier#000000095, Nation: ROMANIA, Balance: 2588.830000
Supplier Key: 96, Name: Supplier#000000096, Nation: JAPAN, Balance: 3437.240000
Supplier Key: 97, Name: Supplier#000000097, Nation: EGYPT, Balance: 6642.220000
Supplier Key: 98, Name: Supplier#000000098, Nation: VIETNAM, Balance: 5873.070000
Supplier Key: 99, Name: Supplier#000000099, Nation: CHINA, Balance: 3671.340000
Supplier Key: 100, Name: Supplier#000000100, Nation: VIETNAM, Balance: 3191.700000
Supplier Key: 101, Name: Supplier#000000101, Nation: IRAQ, Balance: 4901.770000
Supplier Key: 102, Name: Supplier#000000102, Nation: INDIA, Balance: 2980.070000
Supplier Key: 103, Name: Supplier#000000103, Nation: BRAZIL, Balance: 1050.660000
Supplier Key: 104, Name: Supplier#000000104, Nation: FRANCE, Balance: 1381.970000
Supplier Key: 105, Name: Supplier#000000105, Nation: EGYPT, Balance: 3754.750000
Supplier Key: 106, Name: Supplier#000000106, Nation: VIETNAM, Balance: 8091.650000
Supplier Key: 107, Name: Supplier#000000107, Nation: MOZAMBIQUE, Balance: 1378.930000
Supplier Key: 108, Name: Supplier#000000108, Nation: UNITED STATES, Balance: 7683.710000
Supplier Key: 109, Name: Supplier#000000109, Nation: VIETNAM, Balance: 9202.820000
Supplier Key: 110, Name: Supplier#000000110, Nation: MOROCCO, Balance: 9804.100000
Supplier Key: 111, Name: Supplier#000000111, Nation: EGYPT, Balance: 6578.650000
Supplier Key: 112, Name: Supplier#000000112, Nation: JAPAN, Balance: 4332.950000
Supplier Key: 113, Name: Supplier#000000113, Nation: IRAQ, Balance: 1882.050000
Supplier Key: 114, Name: Supplier#000000114, Nation: SAUDI ARABIA, Balance: 4559.180000
Supplier Key: 115, Name: Supplier#000000115, Nation: UNITED KINGDOM, Balance: 9192.100000
Supplier Key: 116, Name: Supplier#000000116, Nation: JORDAN, Balance: 5751.390000
Supplier Key: 117, Name: Supplier#000000117, Nation: CHINA, Balance: 4589.180000
Supplier Key: 118, Name: Supplier#000000118, Nation: ALGERIA, Balance: 7317.430000
Supplier Key: 119, Name: Supplier#000000119, Nation: CHINA, Balance: 2060.130000
Supplier Key: 120, Name: Supplier#000000120, Nation: GERMANY, Balance: 5575.400000
Supplier Key: 121, Name: Supplier#000000121, Nation: FRANCE, Balance: 5733.610000
Supplier Key: 122, Name: Supplier#000000122, Nation: MOZAMBIQUE, Balance: 2732.950000
Supplier Key: 123, Name: Supplier#000000123, Nation: ROMANIA, Balance: 5726.190000
Supplier Key: 124, Name: Supplier#000000124, Nation: INDIA, Balance: -941.380000
Supplier Key: 125, Name: Supplier#000000125, Nation: BRAZIL, Balance: 5157.250000
Supplier Key: 126, Name: Supplier#000000126, Nation: KENYA, Balance: 6829.860000
Supplier Key: 127, Name: Supplier#000000127, Nation: ARGENTINA, Balance: 2502.950000
Supplier Key: 128, Name: Supplier#000000128, Nation: UNITED KINGDOM, Balance: 1091.040000
Supplier Key: 129, Name: Supplier#000000129, Nation: MOROCCO, Balance: 9001.170000
Supplier Key: 130, Name: Supplier#000000130, Nation: UNITED KINGDOM, Balance: 8708.170000
Supplier Key: 131, Name: Supplier#000000131, Nation: KENYA, Balance: 1301.200000
Supplier Key: 132, Name: Supplier#000000132, Nation: ETHIOPIA, Balance: -812.170000
Supplier Key: 133, Name: Supplier#000000133, Nation: EGYPT, Balance: 9754.600000
Supplier Key: 134, Name: Supplier#000000134, Nation: FRANCE, Balance: -329.160000
Supplier Key: 135, Name: Supplier#000000135, Nation: GERMANY, Balance: 9767.990000
Supplier Key: 136, Name: Supplier#000000136, Nation: INDIA, Balance: 4623.480000
Supplier Key: 137, Name: Supplier#000000137, Nation: CHINA, Balance: 837.270000
Supplier Key: 138, Name: Supplier#000000138, Nation: ROMANIA, Balance: 906.070000
Supplier Key: 139, Name: Supplier#000000139, Nation: RUSSIA, Balance: 2217.930000
Supplier Key: 140, Name: Supplier#000000140, Nation: MOZAMBIQUE, Balance: 6727.480000
Supplier Key: 141, Name: Supplier#000000141, Nation: IRAN, Balance: 8842.140000
Supplier Key: 142, Name: Supplier#000000142, Nation: MOZAMBIQUE, Balance: 8991.410000
Supplier Key: 143, Name: Supplier#000000143, Nation: JAPAN, Balance: 9658.990000
Supplier Key: 144, Name: Supplier#000000144, Nation: SAUDI ARABIA, Balance: 9806.290000
Supplier Key: 145, Name: Supplier#000000145, Nation: FRANCE, Balance: -685.940000
Supplier Key: 146, Name: Supplier#000000146, Nation: RUSSIA, Balance: 8271.390000
Supplier Key: 147, Name: Supplier#000000147, Nation: UNITED KINGDOM, Balance: 8387.760000
Supplier Key: 148, Name: Supplier#000000148, Nation: GERMANY, Balance: 6089.750000
Supplier Key: 149, Name: Supplier#000000149, Nation: FRANCE, Balance: 4518.310000
Supplier Key: 150, Name: Supplier#000000150, Nation: ETHIOPIA, Balance: 4161.220000
Supplier Key: 151, Name: Supplier#000000151, Nation: RUSSIA, Balance: 8561.720000
Supplier Key: 152, Name: Supplier#000000152, Nation: UNITED STATES, Balance: 3846.600000
Supplier Key: 153, Name: Supplier#000000153, Nation: INDONESIA, Balance: 850.550000
Supplier Key: 154, Name: Supplier#000000154, Nation: JORDAN, Balance: 4155.670000
Supplier Key: 155, Name: Supplier#000000155, Nation: RUSSIA, Balance: 3401.430000
Supplier Key: 156, Name: Supplier#000000156, Nation: ETHIOPIA, Balance: 9780.740000
Supplier Key: 157, Name: Supplier#000000157, Nation: CANADA, Balance: -963.190000
Supplier Key: 158, Name: Supplier#000000158, Nation: GERMANY, Balance: 1596.440000
Supplier Key: 159, Name: Supplier#000000159, Nation: EGYPT, Balance: 326.360000
Supplier Key: 160, Name: Supplier#000000160, Nation: EGYPT, Balance: 5067.640000
Supplier Key: 161, Name: Supplier#000000161, Nation: ALGERIA, Balance: 7810.780000
Supplier Key: 162, Name: Supplier#000000162, Nation: INDONESIA, Balance: -170.220000
Supplier Key: 163, Name: Supplier#000000163, Nation: JAPAN, Balance: 7999.270000
Supplier Key: 164, Name: Supplier#000000164, Nation: BRAZIL, Balance: -264.200000
Supplier Key: 165, Name: Supplier#000000165, Nation: KENYA, Balance: 1550.620000
Supplier Key: 166, Name: Supplier#000000166, Nation: JORDAN, Balance: 258.330000
Supplier Key: 167, Name: Supplier#000000167, Nation: SAUDI ARABIA, Balance: 5731.870000
Supplier Key: 168, Name: Supplier#000000168, Nation: INDONESIA, Balance: 6559.350000
Supplier Key: 169, Name: Supplier#000000169, Nation: JORDAN, Balance: -927.500000
Supplier Key: 170, Name: Supplier#000000170, Nation: UNITED KINGDOM, Balance: 7392.780000
Supplier Key: 171, Name: Supplier#000000171, Nation: IRAN, Balance: 3549.540000
Supplier Key: 172, Name: Supplier#000000172, Nation: RUSSIA, Balance: 2077.390000
Supplier Key: 173, Name: Supplier#000000173, Nation: JAPAN, Balance: 9583.110000
Supplier Key: 174, Name: Supplier#000000174, Nation: RUSSIA, Balance: -561.500000
Supplier Key: 175, Name: Supplier#000000175, Nation: JAPAN, Balance: 9845.980000
Supplier Key: 176, Name: Supplier#000000176, Nation: IRAN, Balance: 6387.890000
Supplier Key: 177, Name: Supplier#000000177, Nation: JAPAN, Balance: -741.790000
Supplier Key: 178, Name: Supplier#000000178, Nation: MOZAMBIQUE, Balance: 4693.270000
Supplier Key: 179, Name: Supplier#000000179, Nation: ROMANIA, Balance: 7727.830000
Supplier Key: 180, Name: Supplier#000000180, Nation: GERMANY, Balance: 2753.770000
Supplier Key: 181, Name: Supplier#000000181, Nation: KENYA, Balance: 3665.070000
Supplier Key: 182, Name: Supplier#000000182, Nation: GERMANY, Balance: 7872.300000
Supplier Key: 183, Name: Supplier#000000183, Nation: ALGERIA, Balance: -192.510000
Supplier Key: 184, Name: Supplier#000000184, Nation: ARGENTINA, Balance: 7448.530000
Supplier Key: 185, Name: Supplier#000000185, Nation: PERU, Balance: 5435.910000
Supplier Key: 186, Name: Supplier#000000186, Nation: ARGENTINA, Balance: 4397.480000
Supplier Key: 187, Name: Supplier#000000187, Nation: CHINA, Balance: 8517.040000
Supplier Key: 188, Name: Supplier#000000188, Nation: SAUDI ARABIA, Balance: 1020.570000
Supplier Key: 189, Name: Supplier#000000189, Nation: INDONESIA, Balance: 1636.090000
Supplier Key: 190, Name: Supplier#000000190, Nation: IRAN, Balance: 6705.440000
Supplier Key: 191, Name: Supplier#000000191, Nation: CHINA, Balance: 1445.000000
Supplier Key: 192, Name: Supplier#000000192, Nation: MOROCCO, Balance: 7031.840000
Supplier Key: 193, Name: Supplier#000000193, Nation: ETHIOPIA, Balance: 9095.640000
Supplier Key: 194, Name: Supplier#000000194, Nation: INDONESIA, Balance: 1487.080000
Supplier Key: 195, Name: Supplier#000000195, Nation: BRAZIL, Balance: -767.310000
Supplier Key: 196, Name: Supplier#000000196, Nation: CHINA, Balance: 4710.620000
Supplier Key: 197, Name: Supplier#000000197, Nation: CANADA, Balance: 2398.300000
Supplier Key: 198, Name: Supplier#000000198, Nation: FRANCE, Balance: 2187.910000
Supplier Key: 199, Name: Supplier#000000199, Nation: RUSSIA, Balance: 8151.220000
Supplier Key: 200, Name: Supplier#000000200, Nation: IRAQ, Balance: 1589.130000
Supplier Key: 201, Name: Supplier#000000201, Nation: CHINA, Balance: 9537.730000
Supplier Key: 202, Name: Supplier#000000202, Nation: UNITED KINGDOM, Balance: 6739.520000
Supplier Key: 203, Name: Supplier#000000203, Nation: ARGENTINA, Balance: 2150.780000
Supplier Key: 204, Name: Supplier#000000204, Nation: MOROCCO, Balance: 172.870000
Supplier Key: 205, Name: Supplier#000000205, Nation: CANADA, Balance: -670.300000
Supplier Key: 206, Name: Supplier#000000206, Nation: ROMANIA, Balance: 7136.210000
Supplier Key: 207, Name: Supplier#000000207, Nation: BRAZIL, Balance: 3285.770000
Supplier Key: 208, Name: Supplier#000000208, Nation: EGYPT, Balance: 1938.690000
Supplier Key: 209, Name: Supplier#000000209, Nation: CHINA, Balance: -395.270000
Supplier Key: 210, Name: Supplier#000000210, Nation: BRAZIL, Balance: 9657.880000
Supplier Key: 211, Name: Supplier#000000211, Nation: BRAZIL, Balance: 2080.070000
Supplier Key: 212, Name: Supplier#000000212, Nation: GERMANY, Balance: -335.470000
Supplier Key: 213, Name: Supplier#000000213, Nation: CHINA, Balance: 2616.540000
Supplier Key: 214, Name: Supplier#000000214, Nation: KENYA, Balance: 7089.250000
Supplier Key: 215, Name: Supplier#000000215, Nation: JAPAN, Balance: 6125.890000
Supplier Key: 216, Name: Supplier#000000216, Nation: KENYA, Balance: 6902.540000
Supplier Key: 217, Name: Supplier#000000217, Nation: MOROCCO, Balance: 3084.600000
Supplier Key: 218, Name: Supplier#000000218, Nation: IRAN, Balance: 8843.880000
Supplier Key: 219, Name: Supplier#000000219, Nation: INDONESIA, Balance: 5222.690000
Supplier Key: 220, Name: Supplier#000000220, Nation: ROMANIA, Balance: 6746.190000
Supplier Key: 221, Name: Supplier#000000221, Nation: IRAQ, Balance: 4283.340000
Supplier Key: 222, Name: Supplier#000000222, Nation: MOROCCO, Balance: 4173.230000
Supplier Key: 223, Name: Supplier#000000223, Nation: BRAZIL, Balance: 1518.420000
Supplier Key: 224, Name: Supplier#000000224, Nation: ETHIOPIA, Balance: 9036.790000
Supplier Key: 225, Name: Supplier#000000225, Nation: INDONESIA, Balance: 2461.110000
Supplier Key: 226, Name: Supplier#000000226, Nation: CANADA, Balance: 1906.460000
Supplier Key: 227, Name: Supplier#000000227, Nation: EGYPT, Balance: 7896.010000
Supplier Key: 228, Name: Supplier#000000228, Nation: KENYA, Balance: 2291.350000
Supplier Key: 229, Name: Supplier#000000229, Nation: KENYA, Balance: 8751.470000
Supplier Key: 230, Name: Supplier#000000230, Nation: ARGENTINA, Balance: 2975.980000
Supplier Key: 231, Name: Supplier#000000231, Nation: ETHIOPIA, Balance: 9287.330000
Supplier Key: 232, Name: Supplier#000000232, Nation: GERMANY, Balance: 300.800000
Supplier Key: 233, Name: Supplier#000000233, Nation: FRANCE, Balance: 4544.180000
Supplier Key: 234, Name: Supplier#000000234, Nation: UNITED STATES, Balance: 9957.000000
Supplier Key: 235, Name: Supplier#000000235, Nation: INDIA, Balance: 2424.930000
Supplier Key: 236, Name: Supplier#000000236, Nation: MOROCCO, Balance: 9844.000000
Supplier Key: 237, Name: Supplier#000000237, Nation: UNITED KINGDOM, Balance: 6170.980000
Supplier Key: 238, Name: Supplier#000000238, Nation: INDIA, Balance: 5763.170000
Supplier Key: 239, Name: Supplier#000000239, Nation: RUSSIA, Balance: 4672.250000
Supplier Key: 240, Name: Supplier#000000240, Nation: IRAN, Balance: 6537.070000
Supplier Key: 241, Name: Supplier#000000241, Nation: INDIA, Balance: 9594.490000
Supplier Key: 242, Name: Supplier#000000242, Nation: IRAQ, Balance: 3736.640000
Supplier Key: 243, Name: Supplier#000000243, Nation: FRANCE, Balance: 747.880000
Supplier Key: 244, Name: Supplier#000000244, Nation: ARGENTINA, Balance: 5489.080000
Supplier Key: 245, Name: Supplier#000000245, Nation: INDIA, Balance: 6943.280000
Supplier Key: 246, Name: Supplier#000000246, Nation: EGYPT, Balance: 5740.870000
Supplier Key: 247, Name: Supplier#000000247, Nation: UNITED KINGDOM, Balance: 3758.640000
Supplier Key: 248, Name: Supplier#000000248, Nation: FRANCE, Balance: 7487.640000
Supplier Key: 249, Name: Supplier#000000249, Nation: IRAN, Balance: 2800.600000
Supplier Key: 250, Name: Supplier#000000250, Nation: INDONESIA, Balance: 9681.990000
Supplier Key: 251, Name: Supplier#000000251, Nation: VIETNAM, Balance: 283.610000
Supplier Key: 252, Name: Supplier#000000252, Nation: IRAQ, Balance: 1523.140000
Supplier Key: 253, Name: Supplier#000000253, Nation: VIETNAM, Balance: 352.610000
Supplier Key: 254, Name: Supplier#000000254, Nation: GERMANY, Balance: 6230.480000
Supplier Key: 255, Name: Supplier#000000255, Nation: CHINA, Balance: 4663.080000
Supplier Key: 256, Name: Supplier#000000256, Nation: IRAQ, Balance: 6469.780000
Supplier Key: 257, Name: Supplier#000000257, Nation: MOZAMBIQUE, Balance: 630.740000
Supplier Key: 258, Name: Supplier#000000258, Nation: GERMANY, Balance: 5736.090000
Supplier Key: 259, Name: Supplier#000000259, Nation: IRAN, Balance: 439.970000
Supplier Key: 260, Name: Supplier#000000260, Nation: UNITED KINGDOM, Balance: 597.640000
Supplier Key: 261, Name: Supplier#000000261, Nation: ALGERIA, Balance: -466.400000
Supplier Key: 262, Name: Supplier#000000262, Nation: SAUDI ARABIA, Balance: 2138.970000
Supplier Key: 263, Name: Supplier#000000263, Nation: KENYA, Balance: -316.810000
Supplier Key: 264, Name: Supplier#000000264, Nation: ROMANIA, Balance: 8327.340000
Supplier Key: 265, Name: Supplier#000000265, Nation: ROMANIA, Balance: 2638.540000
Supplier Key: 266, Name: Supplier#000000266, Nation: UNITED KINGDOM, Balance: 2874.220000
Supplier Key: 267, Name: Supplier#000000267, Nation: IRAN, Balance: 4068.140000
Supplier Key: 268, Name: Supplier#000000268, Nation: UNITED KINGDOM, Balance: 6261.990000
Supplier Key: 269, Name: Supplier#000000269, Nation: BRAZIL, Balance: 6331.840000
Supplier Key: 270, Name: Supplier#000000270, Nation: UNITED KINGDOM, Balance: 3339.180000
Supplier Key: 271, Name: Supplier#000000271, Nation: MOROCCO, Balance: 8576.950000
Supplier Key: 272, Name: Supplier#000000272, Nation: GERMANY, Balance: 6858.730000
Supplier Key: 273, Name: Supplier#000000273, Nation: MOROCCO, Balance: 3708.180000
Supplier Key: 274, Name: Supplier#000000274, Nation: VIETNAM, Balance: 6296.150000
Supplier Key: 275, Name: Supplier#000000275, Nation: VIETNAM, Balance: 8477.480000
Supplier Key: 276, Name: Supplier#000000276, Nation: FRANCE, Balance: 7144.780000
Supplier Key: 277, Name: Supplier#000000277, Nation: JAPAN, Balance: 4300.150000
Supplier Key: 278, Name: Supplier#000000278, Nation: INDONESIA, Balance: 665.890000
Supplier Key: 279, Name: Supplier#000000279, Nation: JORDAN, Balance: 2613.770000
Supplier Key: 280, Name: Supplier#000000280, Nation: IRAQ, Balance: 4540.530000
Supplier Key: 281, Name: Supplier#000000281, Nation: ALGERIA, Balance: 3717.190000
Supplier Key: 282, Name: Supplier#000000282, Nation: INDIA, Balance: 3751.040000
Supplier Key: 283, Name: Supplier#000000283, Nation: PERU, Balance: 785.260000
Supplier Key: 284, Name: Supplier#000000284, Nation: MOROCCO, Balance: 6866.810000
Supplier Key: 285, Name: Supplier#000000285, Nation: CANADA, Balance: 7487.270000
Supplier Key: 286, Name: Supplier#000000286, Nation: IRAN, Balance: 7517.310000
Supplier Key: 287, Name: Supplier#000000287, Nation: CANADA, Balance: 6541.850000
Supplier Key: 288, Name: Supplier#000000288, Nation: IRAN, Balance: 1884.760000
Supplier Key: 289, Name: Supplier#000000289, Nation: MOZAMBIQUE, Balance: 6144.470000
Supplier Key: 290, Name: Supplier#000000290, Nation: FRANCE, Balance: 167.560000
Supplier Key: 291, Name: Supplier#000000291, Nation: ALGERIA, Balance: 9132.120000
Supplier Key: 292, Name: Supplier#000000292, Nation: VIETNAM, Balance: 9598.620000
Supplier Key: 293, Name: Supplier#000000293, Nation: INDONESIA, Balance: 7114.810000
Supplier Key: 294, Name: Supplier#000000294, Nation: CHINA, Balance: 6700.750000
Supplier Key: 295, Name: Supplier#000000295, Nation: UNITED KINGDOM, Balance: -435.020000
Supplier Key: 296, Name: Supplier#000000296, Nation: KENYA, Balance: 1549.590000
Supplier Key: 297, Name: Supplier#000000297, Nation: ARGENTINA, Balance: 4954.570000
Supplier Key: 298, Name: Supplier#000000298, Nation: ETHIOPIA, Balance: -530.050000
Supplier Key: 299, Name: Supplier#000000299, Nation: IRAN, Balance: -561.380000
Supplier Key: 300, Name: Supplier#000000300, Nation: BRAZIL, Balance: 811.420000
Supplier Key: 301, Name: Supplier#000000301, Nation: EGYPT, Balance: 6472.620000
Supplier Key: 302, Name: Supplier#000000302, Nation: CHINA, Balance: 4422.770000
Supplier Key: 303, Name: Supplier#000000303, Nation: INDIA, Balance: 4500.900000
Supplier Key: 304, Name: Supplier#000000304, Nation: IRAQ, Balance: 8564.160000
Supplier Key: 305, Name: Supplier#000000305, Nation: PERU, Balance: 974.240000
Supplier Key: 306, Name: Supplier#000000306, Nation: MOZAMBIQUE, Balance: 3979.540000
Supplier Key: 307, Name: Supplier#000000307, Nation: KENYA, Balance: 2168.650000
Supplier Key: 308, Name: Supplier#000000308, Nation: INDIA, Balance: 3513.890000
Supplier Key: 309, Name: Supplier#000000309, Nation: BRAZIL, Balance: 7875.480000
Supplier Key: 310, Name: Supplier#000000310, Nation: ALGERIA, Balance: 9312.630000
Supplier Key: 311, Name: Supplier#000000311, Nation: RUSSIA, Balance: 7431.000000
Supplier Key: 312, Name: Supplier#000000312, Nation: JORDAN, Balance: 7844.410000
Supplier Key: 313, Name: Supplier#000000313, Nation: INDONESIA, Balance: 4114.680000
Supplier Key: 314, Name: Supplier#000000314, Nation: RUSSIA, Balance: 7456.490000
Supplier Key: 315, Name: Supplier#000000315, Nation: BRAZIL, Balance: 7315.000000
Supplier Key: 316, Name: Supplier#000000316, Nation: ALGERIA, Balance: 5189.820000
Supplier Key: 317, Name: Supplier#000000317, Nation: PERU, Balance: 4277.340000
Supplier Key: 318, Name: Supplier#000000318, Nation: UNITED STATES, Balance: 2268.020000
Supplier Key: 319, Name: Supplier#000000319, Nation: CHINA, Balance: 1578.180000
